DATE,GDPC1
1947-01-01,2184.61425
1948-01-01,2274.6265
1949-01-01,2261.92775
1950-01-01,2458.53175
1951-01-01,2656.32
1952-01-01,2764.803
1953-01-01,2894.41175
1954-01-01,2877.70775
1955-01-01,3083.02575
1956-01-01,3148.765
1957-01-01,3215.06525
1958-01-01,3191.216
1959-01-01,3412.42125
1960-01-01,3500.2725
1961-01-01,3590.06625
1962-01-01,3810.12325
1963-01-01,3976.14175
1964-01-01,4205.27725
1965-01-01,4478.55525
1966-01-01,4773.93125
1967-01-01,4904.86375
1968-01-01,5145.91425
1969-01-01,5306.5945
1970-01-01,5316.39125
1971-01-01,5491.4455
1972-01-01,5780.04825
1973-01-01,6106.3705
1974-01-01,6073.36275
1975-01-01,6060.87525
1976-01-01,6387.4365
1977-01-01,6682.8045
1978-01-01,7052.71125
1979-01-01,7275.99925
1980-01-01,7257.3165
1981-01-01,7441.485
1982-01-01,7307.314
1983-01-01,7642.2655
1984-01-01,8195.29525
1985-01-01,8537.00375
1986-01-01,8832.61125
1987-01-01,9137.74475
1988-01-01,9519.42675
1989-01-01,9869.00325
1990-01-01,10055.1285
1991-01-01,10044.2375
1992-01-01,10398.04625
1993-01-01,10684.17875
1994-01-01,11114.64625
1995-01-01,11413.01225
1996-01-01,11843.599
1997-01-01,12370.2995
1998-01-01,12924.87575
1999-01-01,13543.774
2000-01-01,14096.033
2001-01-01,14230.726
2002-01-01,14472.7115
2003-01-01,14877.3125
2004-01-01,15449.75725
2005-01-01,15987.9575
2006-01-01,16433.1475
2007-01-01,16762.4455
2008-01-01,16781.48475
2009-01-01,16349.1105
2010-01-01,16789.7505
2011-01-01,17052.4105
2012-01-01,17442.75925
2013-01-01,17812.167
2014-01-01,18261.71425
2015-01-01,18799.622
2016-01-01,19141.67225
2017-01-01,19612.1025
2018-01-01,20193.89525
2019-01-01,20692.08675
2020-01-01,20234.074
2021-01-01,21407.6925
2022-01-01,21822.0365
2023-01-01,22376.9065
